Time,timeFromLastRepair,timeToNextRepair
40567.82291667,0,24.41805333
40567.825,0.00208333,24.41597
40567.82708333,0.00416666,24.41388667
40567.82916667,0.00625,24.41180333
40567.83125,0.00833333,24.40972
40567.83333333,0.01041666,24.40763667
40567.83541667,0.0125,24.40555333
40567.84166667,0.01875,24.39930333
40567.84375,0.02083333,24.39722
40567.84583333,0.02291666,24.39513667
40567.84791667,0.025,24.39305333
40567.85,0.02708333,24.39097
40567.85208333,0.02916666,24.38888667
40567.85416667,0.03125,24.38680333
40567.85625,0.03333333,24.38472
40567.85833333,0.03541666,24.38263667
40567.86041667,0.0375,24.38055333
40567.8625,0.03958333,24.37847
40567.86458333,0.04166666,24.37638667
40567.86666667,0.04375,24.37430333
40567.86875,0.04583333,24.37222
40567.87083333,0.04791666,24.37013667
40567.87291667,0.05,24.36805333
40567.875,0.05208333,24.36597
40567.87708333,0.05416666,24.36388667
40567.87916667,0.05625,24.36180333
40567.88125,0.05833333,24.35972
40567.88333333,0.06041666,24.35763667
40567.88541667,0.0625,24.35555333
40567.8875,0.06458333,24.35347
40567.88958333,0.06666666,24.35138667
40567.89166667,0.06875,24.34930333
40567.89375,0.07083333,24.34722
40567.89583333,0.07291666,24.34513667
40567.89791667,0.075,24.34305333
40567.9,0.07708333,24.34097
40567.90208333,0.07916666,24.33888667
40567.90416667,0.08125,24.33680333
40567.90625,0.08333333,24.33472
40567.90833333,0.08541666,24.33263667
40567.91041667,0.0875,24.33055333
40567.9125,0.08958333,24.32847
40567.91458333,0.09166666,24.32638667
40567.91666667,0.09375,24.32430333
40567.91875,0.09583333,24.32222
40567.92083333,0.09791666,24.32013667
40567.92291667,0.1,24.31805333
40567.925,0.10208333,24.31597
40567.92708333,0.10416666,24.31388667
40567.92916667,0.10625,24.31180333
40567.93125,0.10833333,24.30972
40567.93333333,0.11041666,24.30763667
40567.93541667,0.1125,24.30555333
40567.9375,0.11458333,24.30347
40567.93958333,0.11666666,24.30138667
40567.94166667,0.11875,24.29930333
40567.94375,0.12083333,24.29722
40567.94583333,0.12291666,24.29513667
40567.94791667,0.125,24.29305333
40567.95,0.12708333,24.29097
40567.95208333,0.12916666,24.28888667
40567.95416667,0.13125,24.28680333
40567.95625,0.13333333,24.28472
40567.95833333,0.13541666,24.28263667
40567.96041667,0.1375,24.28055333
40567.9625,0.13958333,24.27847
40567.96458333,0.14166666,24.27638667
40567.96666667,0.14375,24.27430333
40567.96875,0.14583333,24.27222
40567.97083333,0.14791666,24.27013667
40567.97291667,0.15,24.26805333
40567.975,0.15208333,24.26597
40567.97708333,0.15416666,24.26388667
40567.97916667,0.15625,24.26180333
40567.98125,0.15833333,24.25972
40567.98333333,0.16041666,24.25763667
40567.98541667,0.1625,24.25555333
40567.9875,0.16458333,24.25347
40567.98958333,0.16666666,24.25138667
40567.99166667,0.16875,24.24930333
40567.99375,0.17083333,24.24722
40567.99583333,0.17291666,24.24513667
40567.99791667,0.175,24.24305333
40568,0.17708333,24.24097
40568.00208333,0.17916666,24.23888667
40568.00416667,0.18125,24.23680333
40568.00625,0.18333333,24.23472
40568.00833333,0.18541666,24.23263667
40568.01041667,0.1875,24.23055333
40568.0125,0.18958333,24.22847
40568.01458333,0.19166666,24.22638667
40568.01666667,0.19375,24.22430333
40568.01875,0.19583333,24.22222
40568.02083333,0.19791666,24.22013667
40568.02291667,0.2,24.21805333
40568.025,0.20208333,24.21597
40568.02708333,0.20416666,24.21388667
40568.02916667,0.20625,24.21180333
40568.03125,0.20833333,24.20972
40568.03333333,0.21041666,24.20763667
40568.03541667,0.2125,24.20555333
40568.0375,0.21458333,24.20347
40568.03958333,0.21666666,24.20138667
40568.04166667,0.21875,24.19930333
40568.04375,0.22083333,24.19722
40568.04583333,0.22291666,24.19513667
40568.04791667,0.225,24.19305333
40568.05,0.22708333,24.19097
40568.05208333,0.22916666,24.18888667
40568.05416667,0.23125,24.18680333
40568.05625,0.23333333,24.18472
40568.05833333,0.23541666,24.18263667
40568.06041667,0.2375,24.18055333
40568.0625,0.23958333,24.17847
40568.06458333,0.24166666,24.17638667
40568.06666667,0.24375,24.17430333
40568.06875,0.24583333,24.17222
40568.07083333,0.24791666,24.17013667
40568.07291667,0.25,24.16805333
40568.075,0.25208333,24.16597
40568.07708333,0.25416666,24.16388667
40568.07916667,0.25625,24.16180333
40568.08125,0.25833333,24.15972
40568.08333333,0.26041666,24.15763667
40568.08541667,0.2625,24.15555333
40568.0875,0.26458333,24.15347
40568.08958333,0.26666666,24.15138667
40568.09166667,0.26875,24.14930333
40568.09375,0.27083333,24.14722
40568.09583333,0.27291666,24.14513667
40568.09791667,0.275,24.14305333
40568.1,0.27708333,24.14097
40568.10208333,0.27916666,24.13888667
40568.10416667,0.28125,24.13680333
40568.10625,0.28333333,24.13472
40568.10833333,0.28541666,24.13263667
40568.11041667,0.2875,24.13055333
40568.1125,0.28958333,24.12847
40568.11458333,0.29166666,24.12638667
40568.11666667,0.29375,24.12430333
40568.11875,0.29583333,24.12222
40568.12083333,0.29791666,24.12013667
40568.12291667,0.3,24.11805333
40568.125,0.30208333,24.11597
40568.12708333,0.30416666,24.11388667
40568.12916667,0.30625,24.11180333
40568.13125,0.30833333,24.10972
40568.13333333,0.31041666,24.10763667
40568.13541667,0.3125,24.10555333
40568.1375,0.31458333,24.10347
40568.13958333,0.31666666,24.10138667
40568.14166667,0.31875,24.09930333
40568.14375,0.32083333,24.09722
40568.14583333,0.32291666,24.09513667
40568.14791667,0.325,24.09305333
40568.15,0.32708333,24.09097
40568.15208333,0.32916666,24.08888667
40568.15416667,0.33125,24.08680333
40568.15625,0.33333333,24.08472
40568.15833333,0.33541666,24.08263667
40568.16041667,0.3375,24.08055333
40568.1625,0.33958333,24.07847
