xdata,ydata,zdata,color
-0.0032443236,-0.0034872763,-0.0037237424,0.0368067
-0.0026567527,-0.0032289367,-0.0024227096,0.0409767
-0.002508817,-0.0022177376,-0.0023897278,0.04861333
-0.0023468445,-0.0021297416,-0.002134489,0.06389
-0.0023282224,-0.0020971313,-0.0021000618,0.0715233
-0.002319377,-0.0020878883,-0.0020969728,0.09236
-0.0021060502,-0.0020754526,-0.0020843294,0.1006967
-0.0020988405,-0.0020520961,-0.0019707304,0.12014
-0.0020772594,-0.0019549608,-0.0018870105,0.12431
-0.0018560039,-0.0018435111,-0.0018708725,0.13194667
-0.0018270954,-0.0018418,-0.0017965256,0.14305333
-0.0018224523,-0.0018248436,-0.001787486,0.1472233
-0.0018005332,-0.0017959068,-0.0017704345,0.1548567
-0.001738346,-0.0017603494,-0.0017259973,0.1659767
-0.0017136994,-0.0016850737,-0.0017222189,0.1756933
-0.0017122545,-0.0016726811,-0.001691505,0.18403
-0.0017027649,-0.0016060865,-0.0016287104,0.2034733
-0.0016746154,-0.0015361324,-0.0015855603,0.2076433
-0.001635833,-0.0014823952,-0.001571002,0.21528
-0.0016314979,-0.0014370551,-0.0015501819,0.22638667
-0.0015728423,-0.0014265653,-0.0015274036,0.2305567
-0.0015602021,-0.0014104868,-0.0014051281,0.23819
-0.0015501291,-0.0013776637,-0.0013922631,0.24931
-0.0015327641,-0.0013710069,-0.0013642123,0.2590267
-0.0015154743,-0.001364738,-0.0013607523,0.2673633
-0.0015119962,-0.001363366,-0.0013404332,0.2868067
-0.0015019311,-0.0013471196,-0.0013328694,0.2909767
-0.0014653123,-0.0013226909,-0.0013309904,0.29861333
-0.0014585644,-0.0012977252,-0.0013305987,0.30972
-0.0014548357,-0.0012831715,-0.0013133503,0.31389
-0.0014219623,-0.0012767405,-0.0013122246,0.3215233
-0.0013948413,-0.0012424245,-0.0013116268,0.3326433
-0.0013657744,-0.0012405077,-0.001286892,0.33333
-0.0013652988,-0.0012129104,-0.0012766641,0.34236
-0.0013514145,-0.0012031567,-0.0012757951,0.3506967
-0.0013448259,-0.0011924794,-0.0012751529,0.37014
-0.0013425572,-0.0011913253,-0.0012551841,0.37431
-0.0013374772,-0.0011797429,-0.001250713,0.38194667
-0.001326925,-0.0011781877,-0.0012465671,0.39305333
-0.0013100097,-0.0011753497,-0.0012353802,0.3972233
-0.0012790702,-0.0011739831,-0.0012309266,0.4048567
-0.0012657311,-0.0011592812,-0.0012241588,0.4159767
-0.0012590556,-0.0011573119,-0.0012219755,0.4166633
-0.001258938,-0.001146299,-0.0012170831,0.4256933
-0.001252205,-0.0011428299,-0.0011936518,0.43403
-0.0012488349,-0.0011257265,-0.0011765546,0.4534733
-0.0012438577,-0.0011182573,-0.0011763068,0.4576433
-0.0012310064,-0.0011145598,-0.0011740593,0.46528
-0.0012193736,-0.0011143836,-0.0011705477,0.47638667
-0.0012175434,-0.0011096494,-0.0011565508,0.4805567
-0.0012122176,-0.0011093932,-0.0011152645,0.48819
-0.0012108935,-0.0010996068,-0.0011036143,0.49931
-0.0011975816,-0.0010963807,-0.0011017764,0.4999967
-0.0011802164,-0.001095562,-0.0010961818,0.5090267
-0.0011796009,-0.0010927612,-0.0010919348,0.5173633
-0.0011406682,-0.0010903473,-0.0010817522,0.5368067
-0.0011383112,-0.0010895373,-0.0010802392,0.5409767
-0.0011112323,-0.0010818981,-0.0010751344,0.54861333
-0.0011029438,-0.0010800417,-0.0010694397,0.55972
-0.0010942538,-0.0010629822,-0.0010505179,0.56389
-0.0010884538,-0.0010613045,-0.0010345935,0.5715233
-0.0010859951,-0.0010495398,-0.0010315992,0.5826433
-0.0010844648,-0.0010398505,-0.0010314652,0.59236
-0.0010721789,-0.0010317572,-0.0010244091,0.6006967
-0.0010701522,-0.0010290839,-0.0010197949,0.62014
-0.0010655226,-0.0010244913,-0.0010124477,0.62431
-0.0010501829,-0.001019747,-0.0010101684,0.63194667
-0.0010475758,-0.0010185685,-0.0010047278,0.64305333
-0.0010374849,-0.0010107292,-0.0010043996,0.6472233
-0.0010334011,-0.0009971225,-0.0010033016,0.6548567
-0.0010280869,-0.0009964485,-0.0010020518,0.6659767
-0.0010277855,-0.0009930518,-0.0009865535,0.6756933
-0.0010174185,-0.0009806762,-0.0009809061,0.68403
-0.0010121824,-0.0009797755,-0.0009757392,0.7034733
-0.0010110573,-0.0009790602,-0.0009706742,0.7076433
-0.0010074511,-0.0009776954,-0.000953958,0.71528
-0.0010070069,-0.0009706866,-0.0009538734,0.72638667
-0.0009657848,-0.0009704763,-0.0009510118,0.7305567
-0.0009630037,-0.0009618005,-0.0009462479,0.73819
-0.0009540136,-0.0009580718,-0.0009439251,0.74931
-0.0009538754,-0.000955866,-0.0009255948,0.7590267
-0.0009466493,-0.000952926,-0.0009184751,0.7673633
-0.0009462782,-0.0009462925,-0.0009139418,0.7868067
-0.000941295,-0.0009294817,-0.0009073955,0.7909767
-0.0009359356,-0.0009241384,-0.0008991924,0.79861333
-0.0009290364,-0.0009167281,-0.0008955516,0.80972
-0.0009238282,-0.000911667,-0.0008938028,0.81389
-0.0009194713,-0.0009112393,-0.0008889863,0.8215233
-0.0009121665,-0.00090441,-0.0008697636,0.8326433
-0.0008946727,-0.0008987925,-0.0008642638,0.84236
-0.0008898422,-0.0008979439,-0.0008579949,0.8506967
-0.0008868978,-0.0008858114,-0.0008573535,0.87014
-0.000882453,-0.0008847613,-0.0008548181,0.87431
-0.0008712159,-0.0008844304,-0.0008520311,0.88194667
-0.0008636634,-0.0008837369,-0.0008460692,0.89305333
-0.0008562074,-0.0008783485,-0.0008352506,0.8972233
-0.000849602,-0.0008772029,-0.0008347654,0.9048567
-0.0008458405,-0.0008681005,-0.0008275028,0.9159767
-0.0008365667,-0.0008555444,-0.0008221312,0.9256933
-0.0008160395,-0.0008543016,-0.000821592,0.93403
-0.000812419,-0.0008530113,-0.0008165969,0.9534733
-0.0007991199,-0.0008477179,-0.0007853473,0.9576433
-0.0007973981,-0.000826862,-0.0007761648,0.96528
