x,y,z
-16.5236475294,-16.2231796574,-19.6203440958
-16.4858212034,-16.041280937,-19.5888759649
-16.2667493088,-15.8742406174,-19.0653068632
-16.0537799846,-15.7255725482,-19.0461606767
-15.8315080661,-15.7033723846,-19.0115067516
-15.7766383632,-15.6065032336,-18.7803725416
-15.7392029907,-15.604148498,-18.3697325326
-15.5726484279,-15.5796739071,-18.2277413326
-15.3564533106,-15.5643346139,-18.1515231074
-15.1930372521,-15.5324548485,-17.8118402488
-15.1475823834,-15.5106333723,-17.7590625209
-15.0972577518,-15.3508454949,-17.7404719082
-15.0897365452,-15.3107384061,-17.6667693115
-14.96488746,-15.2665929215,-17.6189581343
-14.9503400207,-15.2412976309,-17.6057211296
-14.8776973543,-15.2327620468,-17.5649515056
-14.8722182259,-15.1468421876,-17.4803701641
-14.7950520118,-15.1264561808,-17.474091441
-14.7927600891,-15.1043567353,-17.4187503252
-14.6458946952,-15.0979932259,-17.4083084416
-14.5798062139,-14.9760139861,-17.2898096165
-14.5475309106,-14.9430046835,-17.2229062651
-14.5426257462,-14.9114218829,-17.1892618309
-14.5328628815,-14.8747428921,-17.1736842335
-14.5256514349,-14.8560272704,-17.1241431893
-14.410000626,-14.844761506,-17.1021957159
-14.3991158878,-14.8310009521,-17.026562669
-14.3959134115,-14.751527831,-16.968509267
-14.3702097219,-14.7386958966,-16.8198523996
-14.3255539951,-14.7301721145,-16.8105977457
-14.2846583251,-14.7140109853,-16.7707165304
-14.2833444133,-14.699558966,-16.7175554465
-14.254553994,-14.6734587274,-16.704650298
-14.1762774467,-14.6476663137,-16.6767584498
-14.1528804715,-14.6431055297,-16.5474482963
-14.1519083296,-14.6189523635,-16.459067756
-14.1108820781,-14.5817310038,-16.4283220603
-14.0970250631,-14.5264111394,-16.3871739015
-14.0868497052,-14.5102435665,-16.3246749196
-14.0761570169,-14.5066749729,-16.3109360816
-14.0609785097,-14.5058127841,-16.283898923
-13.9933017027,-14.4992069768,-16.2280390677
-13.9636001285,-14.4920936964,-16.1550094519
-13.9413397624,-14.4838698778,-16.0808208659
-13.8242010852,-14.4687419127,-16.0555929035
-13.8237658707,-14.4482757869,-16.0236311144
-13.8209641865,-14.4466036217,-16.0192414897
-13.7676068841,-14.445958611,-16.0191496307
-13.731461578,-14.4310310413,-16.0156582272
-13.6946823949,-14.3970671933,-16.0156196592
-13.6683141557,-14.393925117,-16.0107720179
-13.6600364488,-14.3891562369,-16.0087191768
-13.62454317,-14.3871920174,-16.0048717287
-13.5899299028,-14.3854923559,-15.9726685979
-13.5742278986,-14.3820853597,-15.9721577274
-13.5637887009,-14.3790774086,-15.9548758915
-13.5622197311,-14.3781313996,-15.9325308769
-13.514007763,-14.3729635791,-15.9195938869
-13.488851932,-14.3622471071,-15.911907325
-13.4837171692,-14.3597723283,-15.9024921831
-13.420703531,-14.3374715769,-15.8875457488
-13.4186065683,-14.3333631999,-15.8357094642
-13.363860699,-14.3139708919,-15.7903624557
-13.3422213407,-14.3067064328,-15.7582644168
-13.3232411403,-14.2952806963,-15.7206105019
-13.3033905591,-14.2750235385,-15.6573334952
-13.2657648619,-14.2370683385,-15.6346251396
-13.2335455017,-14.1978402527,-15.5957803753
-13.2290088397,-14.1870014176,-15.5793178471
-13.0828968728,-14.1797621756,-15.522336147
-13.0287273584,-14.1790047473,-15.5157493602
